lib32-xz 5.8.3-1
lib32-zlib-ng 2.3.3-2
lib32-zlib-ng-compat 2.3.3-2
lib32-zstd 1.5.7-2
libaccounts-glib 1.27-3.1
libaccounts-qt 1.17-2.1
libadwaita 1:1.9.1-1
libaio 0.3.113-4.1
libarchive 3.8.8-1.1
libasan 16.1.1+r12+g301eb08fa2c5-2
libass 0.17.5-1.1
libassuan 3.0.0-1.1
libasyncns 1:0.8+r3+g68cd5af-3.2
libatasmart 0.19-8.1
libatomic 16.1.1+r12+g301eb08fa2c5-2
libavc1394 0.5.4-7.1
libavtp 0.2.0-3.1
libayatana-appindicator 0.6.0-1.1
libayatana-indicator 0.9.5-1.1
libb2 0.98.1-3.1
libblake3 1.8.4-1.1
libblockdev 3.5.0-2.1
libblockdev-crypto 3.5.0-2.1
libblockdev-fs 3.5.0-2.1
libblockdev-loop 3.5.0-2.1
libblockdev-mdraid 3.5.0-2.1
libblockdev-nvme 3.5.0-2.1
libblockdev-part 3.5.0-2.1
libblockdev-smart 3.5.0-2.1
libblockdev-swap 3.5.0-2.1
libbluray 1.4.1-1.1
libbpf 1.7.0-1.1
libbs2b 3.1.0-10.1
libbsd 0.12.2-2.1
libbytesize 2.12-3.1
libcaca 0.99.beta20-7.1
libcanberra 1:0.30+r2+gc0620e4-6.1
libcap 2.78-1.1
libcap-ng 0.9.3-1.1
libcbor 0.14.0-1.1
libcddb 1.3.2-9.1
libcdio 2.3.0-1.1
libcdio-paranoia 10.2+2.0.2-2.1
libclc 22.1.6-1
libcloudproviders 0.4.0-1.1
libcolord 1.4.8-1
libcups 2:2.4.19-1
libcurl-gnutls 8.21.0-1.1
libdaemon 0.14-6.3
libdatrie 0.2.14-1.1
libdbusmenu-glib 18.10.20180917-1
libdbusmenu-gtk3 18.10.20180917-1
libdc1394 2.2.7-2.1
libdca 0.0.7-3.1
libde265 1.1.1-1.1
libdecor 0.2.5-1.1
libdeflate 1.25-1.1
libdisplay-info 0.3.0-1.1
libdmtx 0.7.8-1.1
libdovi 3.3.2-2.1
libdrm 2.4.134-1.1
libdv 1.0.0-12.1
libdvbpsi 1:1.3.3-4
libdvdcss 1.5.0-1.1
libdvdnav 7.0.0-1.1
libdvdread 7.0.1-1.1
libebml 1.4.5-2.1
libebur128 1.2.6-2.1
libedit 20260512_3.1-1.1
libei 1.6.0-1
libelf 0.195-1
libepoxy 1.5.10-3.1
libevdev 1.13.6-1.1
libevent 2.1.12-5.1
libfakekey 0.3-4.1
libfdk-aac 2.0.3-2.1
libffi 3.6.0-1.1
libfontenc 1.1.9-1.1
libfreeaptx 0.2.2-1.1
libftdi 1.5-10.1
libfyaml 0.9.6-2.1
libgcc 16.1.1+r12+g301eb08fa2c5-2
libgcrypt 1.12.2-1.1
libgfortran 16.1.1+r12+g301eb08fa2c5-2
libgirepository 1.86.0-2.1
libgit2 1:1.9.4-1.1
libglvnd 1.7.0-3.1
libgme 0.6.5-1.1
libgomp 16.1.1+r12+g301eb08fa2c5-2
libgoom2 2k4-5
libgpg-error 1.61-1.1
libgsf 1.14.58-1.1
libgudev 238-3.1
libical 4.0.3-2.1
libice 1.1.2-1.1
libidn 1.44-1.1
libidn2 2.3.8-1.1
libiec61883 1.2.0-9.1
libimobiledevice 1.4.0-2.1
libimobiledevice-glue 1.3.2-1.1
libinih 62-2.1
libinput 1.31.3-1.1
libisl 0.27-1.1
libjcat 0.2.6-1.1
libjpeg-turbo 3.1.4.1-1.1
libjxl 0.11.2-2.1
libkate 0.4.3-4.1
libkdcraw 26.04.2-1
libkexiv2 26.04.2-1.1
libksba 1.8.0-1.1
libkscreen 6.7.1-1.1
libksysguard 6.7.1-1
liblc3 1.1.3-2.1
libldac 2.0.2.5-1.1
libldap 2.6.13-1
liblqr 0.4.3-1.1
liblrdf 0.6.1-5.1
liblsan 16.1.1+r12+g301eb08fa2c5-2
libltc 1.3.2-2.1
libluv 1.52.1-1
libmad 0.15.1b-10.1
libmakepkg-dropins 20-1
libmatroska 1.7.1-2.1
libmaxminddb 1.13.3-1.1
libmbim 1.34.0-1.1
libmd 1.2.0-1.1
libmicrodns 0.2.0-2.1
libmm-glib 1.24.2-1.1
libmng 2.0.3-4.1
libmnl 1.0.5-2.1
libmodplug 0.8.9.0-7.1
libmpc 1.4.1-1.1
libmpcdec 1:0.1+r475-6
libmpeg2 0.5.1-11.1
libmtp 1.1.23-1.1
libmysofa 1.3.4-1.1
libndp 1.9-1.2
libnetfilter_conntrack 1.1.1-1.1
libnewt 0.52.25-2.1
libnfnetlink 1.0.2-2.1
libnfs 6.0.2-5.2
libnftnl 1.3.1-1.1
libnghttp2 1.69.0-1.1
libnghttp3 1.16.0-1.1
libngtcp2 1.23.0-1.1
libnice 0.1.23-1.1
libnl 3.12.0-1.1
libnm 1.56.1-1
libnma-common 1.10.6-3.1
libnma-gtk4 1.10.6-3.1
libnotify 0.8.8-1.1
libnsl 2.0.1-2.1
libnvme 1.16.2-1.1
libobjc 16.1.1+r12+g301eb08fa2c5-2
libogg 1.3.6-1.1
libopenmpt 0.8.7-1.1
libopenraw 0.3.7-2.1
libp11-kit 0.26.2-1.1
libpaper 2.2.8-1.1
libpcap 1.10.6-1.1
libpciaccess 0.19-1.1
libpgm 5.3.128-4.1
libpipeline 1.5.8-1.1
libpipewire 1:1.6.7-1.1
libplacebo 7.360.1-3.1
libplasma 6.7.1-1.1
libplist 2.7.0-3.1
libpng 1.6.58-1.1
libproxy 0.5.12-1.1
libpsl 0.21.5-2.1
libpulse 17.0+r98+gb096704c0-1.1
libqaccessibilityclient-qt6 0.6.0-4
libqalculate 5.11.0-1.1
libqmi 1.38.0-1.1
libqrtr-glib 1.4.0-1.1
libquadmath 16.1.1+r12+g301eb08fa2c5-2
libraqm 0.10.5-1.1
libraw 0.22.1-1.1
libraw1394 2.1.2-4.1
librsvg 2:2.62.3-1.1
libsamplerate 0.2.2-3.1
libsasl 2.1.28-5.1
libseccomp 2.6.0-1.1
libsecret 0.21.7-1.1
libshout 1:2.4.6-5.1
